index,x,y,z,yaw,vn,ve,vd,an,ae,ad
0,-0.00407637,0.0112242,-4.75415,104.179,0,0,0,0,0,0
1,-0.0237068,0.0789577,-4.75844,104.179,-0.000174659,0.000600099,-0.00015625,-0.00698636,0.024004,-0.00625
2,-0.0433373,0.146788,-4.76273,104.179,-0.000698636,0.0024004,-0.000625,-0.0139727,0.0480079,-0.0125
3,-0.0629678,0.214522,-4.76702,104.179,-0.00157193,0.00540089,-0.00140625,-0.0209591,0.0720119,-0.01875
4,-0.0825983,0.282352,-4.77131,104.179,-0.00279455,0.00960159,-0.0025,-0.0279455,0.0960159,-0.025
5,-0.102229,0.350085,-4.7756,104.179,-0.00436648,0.0150025,-0.00390625,-0.0349318,0.12002,-0.03125
6,-0.121859,0.417916,-4.77989,104.179,-0.00628773,0.0216036,-0.005625,-0.0419182,0.144024,-0.0375
7,-0.14149,0.485649,-4.78418,104.179,-0.0085583,0.0294049,-0.00765625,-0.0489045,0.168028,-0.04375
8,-0.16112,0.55348,-4.78847,104.179,-0.0111782,0.0384064,-0.01,-0.0558909,0.192032,-0.05
9,-0.180751,0.621213,-4.79276,104.179,-0.0141474,0.048608,-0.0126563,-0.0628773,0.216036,-0.05625
10,-0.200381,0.689043,-4.79705,104.179,-0.0174659,0.0600099,-0.015625,-0.0698636,0.24004,-0.0625
11,-0.220012,0.756777,-4.80134,104.179,-0.0211338,0.072612,-0.0189062,-0.07685,0.264044,-0.06875
12,-0.239642,0.824511,-4.80563,104.179,-0.0251509,0.0864143,-0.0225,-0.0838364,0.288048,-0.075
13,-0.259272,0.892341,-4.80992,104.179,-0.0295174,0.101417,-0.0264062,-0.0908227,0.312052,-0.08125
14,-0.278903,0.960074,-4.81421,104.179,-0.0342332,0.117619,-0.030625,-0.0978091,0.336056,-0.0875
15,-0.298533,1.0279,-4.8185,104.179,-0.0392983,0.135022,-0.0351562,-0.104795,0.36006,-0.09375
16,-0.318164,1.09564,-4.82279,104.179,-0.0447127,0.153625,-0.04,-0.111782,0.384064,-0.1
17,-0.337683,1.16347,-4.82708,104.179,-0.0504765,0.173429,-0.0451563,-0.118768,0.408068,-0.10625
18,-0.357314,1.2312,-4.83137,104.179,-0.0565896,0.194432,-0.050625,-0.125755,0.432072,-0.1125
19,-0.376944,1.29903,-4.83566,104.179,-0.0630519,0.216636,-0.0564062,-0.132741,0.456075,-0.11875
20,-0.396575,1.36677,-4.83995,104.179,-0.0698636,0.24004,-0.0625,-0.139727,0.480079,-0.125
21,-0.416205,1.4346,-4.84424,104.179,-0.07685,0.264044,-0.06875,-0.139727,0.480079,-0.125
22,-0.435836,1.50233,-4.84853,104.179,-0.0838364,0.288048,-0.075,-0.139727,0.480079,-0.125
23,-0.455466,1.57016,-4.85282,104.179,-0.0908227,0.312052,-0.08125,-0.139727,0.480079,-0.125
24,-0.475097,1.63789,-4.85711,104.179,-0.0978091,0.336056,-0.0875,-0.139727,0.480079,-0.125
25,-0.494727,1.70563,-4.8614,104.179,-0.104795,0.36006,-0.09375,-0.139727,0.480079,-0.125
26,-0.514358,1.77346,-4.86569,104.179,-0.111782,0.384064,-0.1,-0.139727,0.480079,-0.125
27,-0.533988,1.84119,-4.86998,104.179,-0.118768,0.408068,-0.10625,-0.139727,0.480079,-0.125
28,-0.553619,1.90902,-4.87427,104.179,-0.125755,0.432072,-0.1125,-0.139727,0.480079,-0.125
29,-0.573249,1.97675,-4.87856,104.179,-0.132741,0.456075,-0.11875,-0.139727,0.480079,-0.125
30,-0.592879,2.04459,-4.88285,104.179,-0.139727,0.480079,-0.125,-0.139727,0.480079,-0.125
31,-0.61251,2.11232,-4.88714,104.179,-0.146714,0.504083,-0.13125,-0.139727,0.480079,-0.125
32,-0.63214,2.18015,-4.89143,104.179,-0.1537,0.528087,-0.1375,-0.139727,0.480079,-0.125
33,-0.651771,2.24788,-4.89572,104.179,-0.160686,0.552091,-0.14375,-0.139727,0.480079,-0.125
34,-0.671401,2.31571,-4.90001,104.179,-0.167673,0.576095,-0.15,-0.139727,0.480079,-0.125
35,-0.691032,2.38345,-4.9043,104.179,-0.174659,0.600099,-0.15625,-0.139727,0.480079,-0.125
36,-0.710662,2.45118,-4.90859,104.179,-0.181645,0.624103,-0.1625,-0.139727,0.480079,-0.125
37,-0.730293,2.51901,-4.91288,104.179,-0.188632,0.648107,-0.16875,-0.139727,0.480079,-0.125
38,-0.749923,2.58674,-4.91717,104.179,-0.195618,0.672111,-0.175,-0.139727,0.480079,-0.125
39,-0.769554,2.65457,-4.92146,104.179,-0.202605,0.696115,-0.18125,-0.139727,0.480079,-0.125
40,-0.789184,2.72231,-4.92575,104.179,-0.209591,0.720119,-0.1875,-0.139727,0.480079,-0.125
41,-0.808815,2.79014,-4.93004,104.179,-0.216577,0.744123,-0.19375,-0.139727,0.480079,-0.125
