t,Px,Py,Pz,yaw,vn,ve,vd,an,ae,ad
0.00000000,0.000000,0.000000,0.000000,104.178951,0.0000000000,0.0000000000,0.0000000000,-0.1397272855,0.4800794577,-0.1250000000
0.05000000,-0.000349,0.001200,-0.000312,104.178962,-0.0069863643,0.0240039729,-0.0062500000,-0.1397272855,0.4800794577,-0.1250000000
0.10000000,-0.001397,0.004801,-0.001250,104.178958,-0.0139727286,0.0480079458,-0.0125000000,-0.1397272855,0.4800794577,-0.1250000000
0.15000000,-0.003144,0.010802,-0.002812,104.178958,-0.0209590928,0.0720119187,-0.0187500000,-0.1397272855,0.4800794577,-0.1250000000
0.20000000,-0.005589,0.019203,-0.005000,104.178958,-0.0279454571,0.0960158915,-0.0250000000,-0.1397272855,0.4800794577,-0.1250000000
0.25000000,-0.008733,0.030005,-0.007813,104.178958,-0.0349318214,0.1200198644,-0.0312500000,-0.1397272855,0.4800794577,-0.1250000000
0.30000000,-0.012575,0.043207,-0.011250,104.178959,-0.0419181857,0.1440238373,-0.0375000000,-0.1397272855,0.4800794577,-0.1250000000
0.35000000,-0.017117,0.058810,-0.015313,104.178959,-0.0489045499,0.1680278102,-0.0437500000,-0.1397272855,0.4800794577,-0.1250000000
0.40000000,-0.022356,0.076813,-0.020000,104.178959,-0.0558909142,0.1920317831,-0.0500000000,-0.1397272855,0.4800794577,-0.1250000000
0.45000000,-0.028295,0.097216,-0.025312,104.178959,-0.0628772785,0.2160357560,-0.0562500000,-0.1397272855,0.4800794577,-0.1250000000
0.50000000,-0.034932,0.120020,-0.031250,104.178958,-0.0698636428,0.2400397288,-0.0625000000,-0.1397272855,0.4800794577,-0.1250000000
0.55000000,-0.042268,0.145224,-0.037813,104.178959,-0.0768500070,0.2640437017,-0.0687500000,-0.1397272855,0.4800794577,-0.1250000000
0.60000000,-0.050302,0.172829,-0.045000,104.178958,-0.0838363713,0.2880476746,-0.0750000000,-0.1397272855,0.4800794577,-0.1250000000
0.65000000,-0.059035,0.202834,-0.052813,104.178959,-0.0908227356,0.3120516475,-0.0812500000,-0.1397272855,0.4800794577,-0.1250000000
0.70000000,-0.068466,0.235239,-0.061250,104.178958,-0.0978090999,0.3360556204,-0.0875000000,-0.1397272855,0.4800794577,-0.1250000000
0.75000000,-0.078597,0.270045,-0.070313,104.178958,-0.1047954642,0.3600595933,-0.0937500000,-0.1397272855,0.4800794577,-0.1250000000
0.80000000,-0.089425,0.307251,-0.080000,104.178958,-0.1117818284,0.3840635661,-0.1000000000,-0.1397272855,0.4800794577,-0.1250000000
0.85000000,-0.100953,0.346857,-0.090312,104.178959,-0.1187681927,0.4080675390,-0.1062500000,-0.1397272855,0.4800794577,-0.1250000000
0.90000000,-0.113179,0.388864,-0.101250,104.178958,-0.1257545570,0.4320715119,-0.1125000000,-0.1397272855,0.4800794577,-0.1250000000
0.95000000,-0.126104,0.433272,-0.112813,104.178959,-0.1327409213,0.4560754848,-0.1187500000,-0.1397272855,0.4800794577,-0.1250000000
1.00000000,-0.139727,0.480079,-0.125000,104.178959,-0.1397272855,0.4800794577,-0.1250000000,-0.1397272855,0.4800794577,-0.1250000000
1.05000000,-0.154049,0.529288,-0.137813,104.178959,-0.1467136498,0.5040834306,-0.1312500000,-0.1397272855,0.4800794577,-0.1250000000
1.10000000,-0.169070,0.580896,-0.151250,104.178958,-0.1537000141,0.5280874034,-0.1375000000,-0.1397272855,0.4800794577,-0.1250000000
1.15000000,-0.184789,0.634905,-0.165312,104.178959,-0.1606863784,0.5520913763,-0.1437500000,-0.1397272855,0.4800794577,-0.1250000000
1.20000000,-0.201207,0.691314,-0.180000,104.178958,-0.1676727427,0.5760953492,-0.1500000000,-0.1397272855,0.4800794577,-0.1250000000
1.25000000,-0.218324,0.750124,-0.195313,104.178958,-0.1746591069,0.6000993221,-0.1562500000,-0.1397272855,0.4800794577,-0.1250000000
1.30000000,-0.236139,0.811334,-0.211250,104.178959,-0.1816454712,0.6241032950,-0.1625000000,-0.1397272855,0.4800794577,-0.1250000000
1.35000000,-0.254653,0.874945,-0.227812,104.178958,-0.1886318355,0.6481072679,-0.1687500000,-0.1397272855,0.4800794577,-0.1250000000
1.40000000,-0.273865,0.940956,-0.245000,104.178959,-0.1956181998,0.6721112407,-0.1750000000,-0.1397272855,0.4800794577,-0.1250000000
1.45000000,-0.293777,1.009367,-0.262813,104.178959,-0.2026045640,0.6961152136,-0.1812500000,-0.1397272855,0.4800794577,-0.1250000000
1.50000000,-0.314386,1.080179,-0.281250,104.178959,-0.2095909283,0.7201191865,-0.1875000000,-0.1397272855,0.4800794577,-0.1250000000
1.55000000,-0.335695,1.153391,-0.300313,104.178958,-0.2165772926,0.7441231594,-0.1937500000,-0.1397272855,0.4800794577,-0.1250000000
1.60000000,-0.357702,1.229003,-0.320000,104.178959,-0.2235636569,0.7681271323,-0.2000000000,-0.1397272855,0.4800794577,-0.1250000000
1.65000000,-0.380408,1.307016,-0.340312,104.178958,-0.2305500211,0.7921311052,-0.2062500000,-0.1397272855,0.4800794577,-0.1250000000
1.70000000,-0.403812,1.387430,-0.361250,104.178959,-0.2375363854,0.8161350780,-0.2125000000,-0.1397272855,0.4800794577,-0.1250000000
1.75000000,-0.427915,1.470243,-0.382813,104.178958,-0.2445227497,0.8401390509,-0.2187500000,-0.1397272855,0.4800794577,-0.1250000000
1.80000000,-0.452716,1.555457,-0.405000,104.178959,-0.2515091140,0.8641430238,-0.2250000000,-0.1397272855,0.4800794577,-0.1250000000
1.85000000,-0.478217,1.643072,-0.427813,104.178958,-0.2584954783,0.8881469967,-0.2312500000,-0.1397272855,0.4800794577,-0.1250000000
1.90000000,-0.504416,1.733087,-0.451250,104.178958,-0.2654818425,0.9121509696,-0.2375000000,-0.1397272855,0.4800794577,-0.1250000000
1.95000000,-0.531313,1.825502,-0.475313,104.178959,-0.2724682068,0.9361549425,-0.2437500000,-0.1397272855,0.4800794577,-0.1250000000
2.00000000,-0.558909,1.920318,-0.500000,104.178958,-0.2794545711,0.9601589153,-0.2500000000,-0.1397272855,0.4800794577,-0.1250000000
2.05000000,-0.587204,2.017534,-0.525312,104.178959,-0.2864409354,0.9841628882,-0.2562500000,-0.1397272855,0.4800794577,-0.1250000000
2.10000000,-0.616197,2.117150,-0.551250,104.178958,-0.2934272996,1.0081668611,-0.2625000000,-0.1397272855,0.4800794577,-0.1250000000
2.15000000,-0.645889,2.219167,-0.577813,104.178959,-0.3004136639,1.0321708340,-0.2687500000,-0.1397272855,0.4800794577,-0.1250000000
2.20000000,-0.676280,2.323585,-0.605000,104.178959,-0.3074000282,1.0561748069,-0.2750000000,-0.1397272855,0.4800794577,-0.1250000000
2.25000000,-0.707369,2.430402,-0.632813,104.178959,-0.3143863925,1.0801787798,-0.2812500000,-0.1397272855,0.4800794577,-0.1250000000
2.30000000,-0.739157,2.539620,-0.661250,104.178958,-0.3213727567,1.1041827526,-0.2875000000,-0.1397272855,0.4800794577,-0.1250000000
2.35000000,-0.771644,2.651239,-0.690312,104.178959,-0.3283591210,1.1281867255,-0.2937500000,-0.1397272855,0.4800794577,-0.1250000000
