index,x,y,z,vx,vy,vz
0,39.2073,22.5952,42.0002,1.2e-15,8.71e-16,1.6e-20
1,39.2073,22.5952,42.0002,8.37e-06,-5.36e-06,7.06e-11
2,39.2073,22.5952,42.0002,6.6e-05,-4.23e-05,5.67e-10
3,39.2073,22.5952,42.0002,0.000219687,-0.000140859,1.92e-09
4,39.2073,22.5952,42.0002,0.000513421,-0.000329268,4.55e-09
5,39.2073,22.5952,42.0002,0.000988619,-0.000634166,8.91e-09
6,39.2073,22.5952,42.0002,0.00168411,-0.00108055,1.54e-08
7,39.2073,22.5952,42.0002,0.00263621,-0.00169182,2.46e-08
8,39.2073,22.5952,42.0002,0.0038788,-0.00248985,3.67e-08
9,39.2073,22.5952,42.0002,0.00544337,-0.003495,5.24e-08
10,39.2073,22.5952,42.0002,0.0073591,-0.00472617,7.2e-08
11,39.2073,22.5952,42.0002,0.0096529,-0.00620081,9.6e-08
12,39.2073,22.5952,42.0002,0.0123495,-0.00793503,1.25e-07
13,39.2062,22.5952,42.0002,0.0154715,-0.00994353,1.59e-07
14,39.2062,22.5952,42.0002,0.0190395,-0.0122397,1.99e-07
15,39.2062,22.5952,42.0002,0.0230718,-0.0148358,2.44e-07
16,39.2062,22.5952,42.0002,0.0275852,-0.0177426,2.97e-07
17,39.2051,22.5952,42.0002,0.0325941,-0.0209699,3.56e-07
18,39.2051,22.5952,42.0002,0.0381115,-0.0245262,4.23e-07
19,39.204,22.5952,42.0002,0.0441484,-0.0284189,4.98e-07
20,39.204,22.5952,42.0002,0.0507141,-0.0326543,5.81e-07
21,39.2028,22.5952,42.0002,0.0578162,-0.0372377,6.73e-07
22,39.2028,22.6035,42.0002,0.0654607,-0.0421732,7.74e-07
23,39.2017,22.6035,42.0002,0.0736521,-0.0474642,8.85e-07
24,39.2006,22.6035,42.0002,0.0823934,-0.0531128,1.01e-06
25,39.1995,22.6035,42.0002,0.0916859,-0.0591205,1.14e-06
26,39.1984,22.6035,42.0002,0.10153,-0.0654877,1.28e-06
27,39.1962,22.6119,42.0002,0.111924,-0.0722139,1.43e-06
28,39.1951,22.6119,42.0002,0.122866,-0.079298,1.6e-06
29,39.194,22.6119,42.0002,0.134351,-0.0867379,1.77e-06
30,39.1917,22.6202,42.0002,0.146376,-0.0945308,1.96e-06
31,39.1895,22.6202,42.0002,0.158933,-0.102673,2.16e-06
32,39.1873,22.6202,42.0002,0.172015,-0.111161,2.37e-06
33,39.1851,22.6285,42.0002,0.185614,-0.119989,2.6e-06
34,39.1829,22.6285,42.0002,0.199721,-0.129151,2.84e-06
35,39.1806,22.6368,42.0002,0.214325,-0.138642,3.1e-06
36,39.1773,22.6368,42.0002,0.229415,-0.148455,3.37e-06
37,39.174,22.6451,42.0002,0.24498,-0.158583,3.65e-06
38,39.1706,22.6451,42.0002,0.261005,-0.169016,3.95e-06
39,39.1673,22.6534,42.0002,0.277478,-0.179749,4.26e-06
40,39.164,22.6618,42.0002,0.294384,-0.19077,4.59e-06
41,39.1595,22.6618,42.0002,0.311708,-0.202071,4.94e-06
42,39.1562,22.6701,42.0002,0.329433,-0.213643,5.3e-06
43,39.1518,22.6784,42.0002,0.347544,-0.225475,5.68e-06
44,39.1473,22.6867,42.0002,0.366024,-0.237557,6.07e-06
45,39.1418,22.695,42.0002,0.384855,-0.249877,6.48e-06
46,39.1373,22.7033,42.0002,0.404018,-0.262425,6.91e-06
47,39.1318,22.7117,42.0002,0.423496,-0.275189,7.35e-06
48,39.1262,22.72,42.0002,0.44327,-0.288158,7.81e-06
49,39.1195,22.7283,42.0002,0.463319,-0.301319,8.29e-06
50,39.114,22.7366,42.0002,0.483626,-0.31466,8.79e-06
51,39.1073,22.7449,42.0002,0.504168,-0.328168,9.3e-06
52,39.1007,22.7532,42.0002,0.524927,-0.341831,9.83e-06
53,39.094,22.7699,42.0002,0.545882,-0.355637,1.04e-05
