index,x,y,z,vx,vy,vz
0,39.2073,22.5952,42.0002,0,0,0
1,39.1906,22.6202,42.0172,1.46952,-0.826717,-0.849515
2,39.1562,22.6784,42.013,3,-1.70844,0.209111
3,39.1207,22.7449,42.0086,3,-1.78343,0.220038
4,39.084,22.8031,42.0056,3,-1.84387,0.14925
5,39.0462,22.8613,42.0037,3,-1.87844,0.0980718
6,39.0085,22.9196,42.0024,3,-1.88722,0.064307
7,38.9707,22.9778,42.0015,3,-1.88411,0.0425993
8,38.9341,23.0443,42.001,3,-1.87233,0.0284938
9,38.8963,23.1025,42.0006,3,-1.85724,0.0191923
10,38.8596,23.1607,42.0003,3,-1.84231,0.0128711
11,38.823,23.2189,42.0002,3,-1.83009,0.00866173
12,38.7863,23.2855,42,3,-1.82019,0.00583717
13,38.7508,23.3437,42,3,-1.81169,0.00377352
14,38.7141,23.4019,41.9999,3,-1.80597,0.00222162
15,38.6786,23.4601,41.9999,3,-1.80448,0.00120348
16,38.6419,23.5183,41.9999,3,-1.80623,0.000590482
17,38.6053,23.5848,41.9999,3,-1.80982,0.000147073
18,38.5698,23.6431,41.9999,3,-1.81515,-0.000233676
19,38.5331,23.7013,41.9999,3,-1.82384,-0.000514348
20,38.4964,23.7595,41.9999,3,-1.83668,-0.000626513
21,38.4598,23.8177,41.9999,3,-1.85302,-0.000640507
22,38.422,23.8842,41.9999,3,-1.8718,-0.000608499
23,38.3843,23.9424,42,3,-1.89299,-0.00120237
24,38.3454,24.0006,42,3,-1.91654,-0.00335962
25,38.3065,24.0589,42.0001,3,-1.94181,-0.00446841
26,38.2676,24.1254,42.0002,3,-1.96743,-0.00486214
27,38.2277,24.1836,42.0003,3,-1.99209,-0.00398664
28,38.1877,24.2418,42.0003,3,-2.0169,-0.00246052
29,38.1466,24.3,42.0004,3,-2.04441,-0.000849339
30,38.1044,24.3582,42.0003,3,-2.0762,0.000384399
31,38.0622,24.4248,42.0003,3,-2.11316,0.00115319
32,38.02,24.483,42.0003,3,-2.15579,0.00110245
33,37.9755,24.5412,42.0003,3,-2.20247,0.00108538
34,37.93,24.5994,42.0002,3,-2.25292,0.00147501
35,37.8845,24.6659,42.0002,3,-2.30957,0.00177394
36,37.8367,24.7241,42.0002,3,-2.37548,0.00196467
37,37.7878,24.7824,42.0001,3,-2.45161,0.00164306
38,37.7367,24.8406,42.0001,3,-2.53132,0.00121594
39,37.6845,24.8988,42.0001,3,-2.6073,0.00133066
40,37.6312,24.9653,42.0001,3,-2.67875,0.00148725
41,37.5768,25.0235,42,3,-2.74047,0.00161357
42,37.5202,25.0817,42,3,-2.78875,0.001742
43,37.4646,25.1399,42,3,-2.82175,0.00202221
44,37.408,25.1982,41.9999,3,-2.83868,0.00099431
45,37.3502,25.2647,41.9999,3,-2.84003,0.00125792
46,37.2936,25.3229,41.9999,3,-2.82874,0.0013019
47,37.238,25.3811,41.9999,3,-2.80881,0.000647543
48,37.1825,25.4393,41.9999,3,-2.78885,-0.000387181
49,37.127,25.5059,41.9999,3,-2.77528,-0.000610876
50,37.0714,25.5641,41.9999,3,-2.76479,-0.000494238
51,37.0159,25.6223,41.9999,3,-2.75529,-0.000343512
52,36.9615,25.6805,41.9999,3,-2.74707,-0.000154988
53,36.907,25.7387,41.9999,3,-2.74027,2.38e-05
54,36.8515,25.8052,41.9999,3,-2.73649,0.000198123
55,36.7971,25.8634,41.9999,3,-2.73608,0.00038576
56,36.7427,25.9217,41.9999,3,-2.73815,0.000578724
57,36.6871,25.9799,41.9999,3,-2.74297,0.000733103
58,36.6327,26.0381,41.9999,3,-2.7514,0.000575033
59,36.5772,26.1046,41.9999,3,-2.76457,0.000175703
